[2026-04-07 14:52:17 +0000] [7] [INFO] Starting gunicorn 23.0.0
[2026-04-07 14:52:17 +0000] [7] [INFO] Listening at: http://0.0.0.0:9000 (7)
[2026-04-07 14:52:17 +0000] [7] [INFO] Using worker: gthread
[2026-04-07 14:52:17 +0000] [8] [INFO] Booting worker with pid: 8
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket/o?alt=json&delimiter=%2F&endOffset=&fields=nextPageToken%2Cprefixes%2Citems%28contentEncoding%2Ccrc32c%2Cname%2Csize%2Cgeneration%2Cmetageneration%2Cupdated%2Cmetadata%29&includeFoldersAsPrefixes=false&includeTrailingDelimiter=true&matchGlob=&maxResults=5000&pageToken=&prefix=StreamingWritesFailureTest19bxf%2F&prettyPrint=false&projection=noAcl&startOffset=&versions=false HTTP/1.1" 200 321 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2636 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest19bxf%2Ffoo1&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2232 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /test-bucket/StreamingWritesFailureTest19bxf%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest19bxf%2Ffoo1%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 196 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest19bxf%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest19bxf%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537670&ifMetagenerationMatch=1&name=StreamingWritesFailureTest19bxf%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=180d82eb425b17bc52d98780ff8d985e0775a6a916e29fe82519966222b23742 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /retry_test HTTP/1.1" 200 143 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=180d82eb425b17bc52d98780ff8d985e0775a6a916e29fe82519966222b23742 HTTP/1.1" 412 84 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /test-bucket/StreamingWritesFailureTest19bxf%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest19bxf%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537670&ifMetagenerationMatch=1&name=StreamingWritesFailureTest19bxf%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=e9d7feec6af179f500b26527fb4a84d31f9fbbf70971359553d19d4af6f80d29 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=e9d7feec6af179f500b26527fb4a84d31f9fbbf70971359553d19d4af6f80d29 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=e9d7feec6af179f500b26527fb4a84d31f9fbbf70971359553d19d4af6f80d29 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=e9d7feec6af179f500b26527fb4a84d31f9fbbf70971359553d19d4af6f80d29 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=e9d7feec6af179f500b26527fb4a84d31f9fbbf70971359553d19d4af6f80d29 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=e9d7feec6af179f500b26527fb4a84d31f9fbbf70971359553d19d4af6f80d29 HTTP/1.1" 200 2389 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /test-bucket/StreamingWritesFailureTest19bxf%2Ffoo1 HTTP/1.1" 200 5242880 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest7y9oj%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 191 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest7y9oj?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 190 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest7y9oj%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2208 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket/o?alt=json&delimiter=%2F&endOffset=&fields=nextPageToken%2Cprefixes%2Citems%28crc32c%2Cname%2Csize%2Cgeneration%2Cmetageneration%2Cupdated%2Cmetadata%2CcontentEncoding%29&includeFoldersAsPrefixes=false&includeTrailingDelimiter=true&matchGlob=&maxResults=5000&pageToken=&prefix=StreamingWritesFailureTest7y9oj%2F&prettyPrint=false&projection=noAcl&startOffset=&versions=false HTTP/1.1" 200 321 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2636 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest7y9oj%2Ffoo1&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2232 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /test-bucket/StreamingWritesFailureTest7y9oj%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest7y9oj%2Ffoo1%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 196 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest7y9oj%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest7y9oj%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537673&ifMetagenerationMatch=1&name=StreamingWritesFailureTest7y9oj%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=b7c12efdcae3a247e6f9a0050c21c4cc3ea61ba9824ea942b72c4509d9f10ed9 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /retry_test HTTP/1.1" 200 143 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=b7c12efdcae3a247e6f9a0050c21c4cc3ea61ba9824ea942b72c4509d9f10ed9 HTTP/1.1" 412 84 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /test-bucket/StreamingWritesFailureTest7y9oj%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest7y9oj%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537673&ifMetagenerationMatch=1&name=StreamingWritesFailureTest7y9oj%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=9da5d995d5ae391f45f018307127efdfc46309828d9c0f701878e2281c0c06bb HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=9da5d995d5ae391f45f018307127efdfc46309828d9c0f701878e2281c0c06bb HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=9da5d995d5ae391f45f018307127efdfc46309828d9c0f701878e2281c0c06bb HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=9da5d995d5ae391f45f018307127efdfc46309828d9c0f701878e2281c0c06bb HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=9da5d995d5ae391f45f018307127efdfc46309828d9c0f701878e2281c0c06bb HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=9da5d995d5ae391f45f018307127efdfc46309828d9c0f701878e2281c0c06bb HTTP/1.1" 200 2389 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-735f3cf4)"
127.0.0.1 - - [07/Apr/2026:14:52:52 +0000] "GET /test-bucket/StreamingWritesFailureTest7y9oj%2Ffoo1 HTTP/1.1" 200 5242880 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3w8q3?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 190 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3w8q3%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 191 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest3w8q3%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2208 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket/o?alt=json&delimiter=%2F&endOffset=&fields=nextPageToken%2Cprefixes%2Citems%28name%2Csize%2Cgeneration%2Cmetageneration%2Cupdated%2Cmetadata%2CcontentEncoding%2Ccrc32c%29&includeFoldersAsPrefixes=false&includeTrailingDelimiter=true&matchGlob=&maxResults=5000&pageToken=&prefix=StreamingWritesFailureTest3w8q3%2F&prettyPrint=false&projection=noAcl&startOffset=&versions=false HTTP/1.1" 200 321 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2636 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest3w8q3%2Ffoo1&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2232 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /test-bucket/StreamingWritesFailureTest3w8q3%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3w8q3%2Ffoo1%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 196 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3w8q3%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3w8q3%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537676&ifMetagenerationMatch=1&name=StreamingWritesFailureTest3w8q3%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=ef4dab315a1ec69c4f9b2890d46b09c13d7733e16970cd715893c3cce0838f9b HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /retry_test HTTP/1.1" 200 143 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=ef4dab315a1ec69c4f9b2890d46b09c13d7733e16970cd715893c3cce0838f9b HTTP/1.1" 412 84 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /test-bucket/StreamingWritesFailureTest3w8q3%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3w8q3%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537676&ifMetagenerationMatch=1&name=StreamingWritesFailureTest3w8q3%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4bac601dd77d08805de358bddc4c44212968424919399ef31f4fa50a52c10675 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4bac601dd77d08805de358bddc4c44212968424919399ef31f4fa50a52c10675 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4bac601dd77d08805de358bddc4c44212968424919399ef31f4fa50a52c10675 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4bac601dd77d08805de358bddc4c44212968424919399ef31f4fa50a52c10675 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4bac601dd77d08805de358bddc4c44212968424919399ef31f4fa50a52c10675 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4bac601dd77d08805de358bddc4c44212968424919399ef31f4fa50a52c10675 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4bac601dd77d08805de358bddc4c44212968424919399ef31f4fa50a52c10675 HTTP/1.1" 200 2389 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-285d11ed)"
127.0.0.1 - - [07/Apr/2026:14:52:55 +0000] "GET /test-bucket/StreamingWritesFailureTest3w8q3%2Ffoo1 HTTP/1.1" 200 6291456 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:58 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTestg51xr?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 190 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-c9c735b3)"
127.0.0.1 - - [07/Apr/2026:14:52:58 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTestg51xr%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 191 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-c9c735b3)"
127.0.0.1 - - [07/Apr/2026:14:52:58 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTestg51xr%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2208 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-c9c735b3)"
127.0.0.1 - - [07/Apr/2026:14:52:58 +0000] "GET /storage/v1/b/test-bucket/o?alt=json&delimiter=%2F&endOffset=&fields=nextPageToken%2Cprefixes%2Citems%28metadata%2CcontentEncoding%2Ccrc32c%2Cname%2Csize%2Cgeneration%2Cmetageneration%2Cupdated%29&includeFoldersAsPrefixes=false&includeTrailingDelimiter=true&matchGlob=&maxResults=5000&pageToken=&prefix=StreamingWritesFailureTestg51xr%2F&prettyPrint=false&projection=noAcl&startOffset=&versions=false HTTP/1.1" 200 321 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-c9c735b3)"
127.0.0.1 - - [07/Apr/2026:14:52:58 +0000] "GET /storage/v1/b/test-bucket?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2636 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:58 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTestg51xr%2Ffoo1&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2232 "-" "google-api-go-client/0.5"
